id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2025-415056,2025-01-30,1,Vente,360000.0,48.0,,CHE DE LA CHAPELLE NOTRE DAME,1410,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,95.0,4.0,650.0,5.902108,43.148019,000DY,400
2025-415068,2025-02-04,1,Vente,150000.0,454.0,,RUE JEAN JAURES,3895,83000.0,83137,Toulon,83,,19.0,59.3,,,,,,,,,1,2.0,Appartement,51.0,3.0,,5.931718,43.12386,000CN,395
2025-415069,2025-01-23,1,Vente,114800.0,8.0,,RUE DE LA FRATERNITE,3050,83000.0,83137,Toulon,83,,8.0,,,,,,,,,,1,2.0,Appartement,48.0,3.0,,5.933531,43.120182,000CM,407
2025-415070,2025-02-04,1,Vente,53000.0,88.0,,RUE CHEVALIER P CASSINE,1545,83200.0,83137,Toulon,83,,109.0,53.61,110.0,,,,,,,,2,2.0,Appartement,52.0,3.0,,5.912983,43.13566,000DK,395
2025-415074,2025-01-30,1,Vente,314815.0,158.0,,PL BISCARRE,0906,83000.0,83137,Toulon,83,,32.0,75.8,,,,,,,,,1,2.0,Appartement,75.0,4.0,,5.94173,43.131934,000AO,400
2025-415086,2025-02-14,1,Vente,108000.0,9.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,16.0,60.5,,,,,,,,,1,2.0,Appartement,61.0,2.0,,5.931821,43.122339,000CN,385
2025-415091,2025-02-10,1,Vente,144000.0,209.0,,RUE FELIX MAYOL,2820,83200.0,83137,Toulon,83,,29.0,70.68,,,,,,,,,1,2.0,Appartement,67.0,4.0,,5.91058,43.128149,000CX,389
2025-415107,2025-02-05,1,Vente,84000.0,12.0,,RUE MARCEL SEMBAT,4800,83200.0,83137,Toulon,83,,15.0,,26.0,49.2,,,,,,,2,2.0,Appartement,60.0,1.0,,5.917902,43.130197,000CY,394
2025-415112,2025-02-03,1,Vente,130000.0,9002.0,,BD JEAN NOBLE,3930,83000.0,83137,Toulon,83,,16.0,,,,,,,,,,1,2.0,Appartement,45.0,2.0,,5.944312,43.114128,000BT,396
2025-415114,2025-01-30,1,Vente,171550.0,2.0,,CHE DU CHATEAU ROSE,1505,83200.0,83137,Toulon,83,,33.0,,39.0,48.25,9.0,5.0,,,,,3,2.0,Appartement,49.0,2.0,,5.901843,43.149569,000DY,400
2025-415115,2025-02-18,1,Vente,323000.0,5000.0,,RUE DE SIOU BLANC,6795,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,85.0,4.0,99.0,5.976239,43.120047,000BD,381
2025-415123,2025-01-29,1,Vente,420000.0,368.0,,AV DES ILES D OR,3705,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,120.0,4.0,545.0,5.975523,43.129147,000AW,401
2025-415127,2025-02-14,1,Vente,448000.0,502.0,,CHE DE LA CALADE,1135,83000.0,83137,Toulon,83,,85.0,91.54,,,,,,,,,1,2.0,Appartement,92.0,4.0,,5.962223,43.110176,000BO,385
2025-415138,2025-02-10,1,Vente,220000.0,9001.0,,RUE OCTAVE VIRGILLY,5440,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,90.0,4.0,425.0,5.965877,43.128091,000AX,389
2025-415138,2025-02-10,1,Vente,220000.0,9001.0,,RUE OCTAVE VIRGILLY,5440,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,90.0,4.0,425.0,5.965877,43.128091,000AX,389
2025-415147,2025-01-31,1,Vente,378000.0,30.0,,RTE NLE 8 TOULON MARSEILLE,5373,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,95.0,4.0,611.0,5.88995,43.12898,000DP,399
2025-415147,2025-01-31,1,Vente,378000.0,30.0,,RTE NLE 8 TOULON MARSEILLE,5373,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,95.0,4.0,611.0,5.88995,43.12898,000DP,399
2025-415152,2025-01-24,1,Vente,155000.0,284.0,,AV PRE FAUCHIER,5945,83200.0,83137,Toulon,83,,5.0,61.02,,,,,,,,,1,2.0,Appartement,59.0,2.0,,5.914332,43.136833,000DH,406
2025-415153,2025-02-04,1,Vente,110000.0,5.0,,AV BIR HAKEIM,0901,83200.0,83137,Toulon,83,,54.0,,96.0,60.9,,,,,,,2,2.0,Appartement,65.0,4.0,,5.912342,43.130621,000CX,395
