id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2024-1010627,2024-02-23,1,Vente,118000.0,12.0,B,RUE MASSENET,5000,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,46.0,3.0,150.0,5.965359,43.125406,000AX,742
2024-1010629,2024-02-09,1,Vente,345000.0,58.0,,CHE DE BLIDA,0925,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,72.0,3.0,298.0,5.955846,43.120424,000BP,756
2024-1010666,2024-03-07,1,Vente,400000.0,87.0,,AV DOCTEUR DOYEN,2265,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,42.0,2.0,370.0,5.899228,43.128508,000DL,729
2024-1010666,2024-03-07,1,Vente,400000.0,87.0,,AV DOCTEUR DOYEN,2265,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,30.0,1.0,370.0,5.899228,43.128508,000DL,729
2024-1010666,2024-03-07,1,Vente,400000.0,87.0,,AV DOCTEUR DOYEN,2265,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,78.0,3.0,370.0,5.899228,43.128508,000DL,729
2024-1010666,2024-03-07,1,Vente,400000.0,87.0,,AV DOCTEUR DOYEN,2265,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,82.0,3.0,370.0,5.899228,43.128508,000DL,729
2024-1010859,2024-02-24,1,Vente,100000.0,3.0,,IMP BOSANO,0979,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,69.0,4.0,102.0,5.943441,43.124315,000CI,741
2024-1010940,2024-03-01,1,Vente,440000.0,15.0,,RUE DOCTEUR PAUL MAROTTE,2335,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,92.0,5.0,350.0,5.939843,43.13197,000AO,735
2024-1010956,2024-02-27,1,Vente,477000.0,133.0,,RUE ORVES,5515,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,31.0,2.0,78.0,5.939776,43.111483,000BV,738
2024-1010956,2024-02-27,1,Vente,477000.0,133.0,,RUE ORVES,5515,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,21.0,2.0,78.0,5.939776,43.111483,000BV,738
